time,a,b,c,d,e,f,g,h,i
2019-10-14 00:00:00,1.6461949,0.39366794,0.08205822,0.1642281,0.027243514,0.027916033,0.41308704,0.6577934,0.02045155
2019-10-14 03:00:00,2.3389156,0.3031022,0.07404285,0.14235716,0.021813443,0.021265212,0.7852424,0.34343883,0.016519323
2019-10-14 06:00:00,1.8299993,0.25892872,0.08481472,0.13703711,0.018002454,0.020750804,0.5390783,0.19310622,0.015871545
2019-10-14 09:00:00,1.892372,0.17649819,0.040290523,0.13655606,0.015110795,0.011254448,0.6402401,0.16298589,0.012933944
2019-10-14 12:00:00,2.7931921,0.20688368,0.055514168,0.17649898,0.017338602,0.009965321,0.5982633,0.13894582,0.01290568
2019-10-14 15:00:00,3.0249786,0.16472144,0.14273863,0.16097008,0.013752615,0.009172309,0.5814675,0.12556225,0.011475746
2019-10-14 18:00:00,3.0286472,0.18761668,0.23844853,0.14561883,0.013365752,0.010844,0.6115151,0.14133023,0.012628185
2019-10-14 21:00:00,3.5807397,0.22954328,0.27840284,0.16134566,0.014933372,0.011723964,0.63220274,0.14046988,0.012848489
2019-10-15 00:00:00,3.6783419,0.25897732,0.3133697,0.1707213,0.015484985,0.011762879,0.6508168,0.1338497,0.012569122
2019-10-15 03:00:00,3.934388,0.2844976,0.38303208,0.16670087,0.016290884,0.012221597,0.7074778,0.1296485,0.012194719
2019-10-15 06:00:00,4.666699,0.32201058,0.12537737,0.1636489,0.016295597,0.011237442,0.7880285,0.12860063,0.012435605
2019-10-15 09:00:00,5.247894,0.3370278,0.030238748,0.16180608,0.015769968,0.010820878,0.809605,0.1289475,0.0121420175
2019-10-15 12:00:00,5.3056617,0.3385253,0.032967668,0.154642,0.015336339,0.011015062,0.7787,0.1285152,0.012541442
2019-10-15 15:00:00,5.034308,0.42894474,0.03579161,0.14585172,0.014718698,0.01279287,0.78023523,0.12844993,0.012283338
2019-10-15 18:00:00,4.412636,0.5662222,0.03793761,0.13758843,0.014442017,0.013170917,0.82676363,0.1501446,0.013122657
2019-10-15 21:00:00,4.9596214,0.636563,0.038103264,0.13470623,0.014225772,0.01343225,0.83238626,0.15788296,0.012744304
2019-10-16 00:00:00,5.6726284,0.6809842,0.041389793,0.1357916,0.014577686,0.013754266,0.806849,0.19021247,0.012460504
2019-10-16 03:00:00,5.6458735,0.6538433,0.053746287,0.14565371,0.01648747,0.016693993,0.7111999,0.25054356,0.01388452
2019-10-16 06:00:00,6.17965,0.6328449,0.061289173,0.17401598,0.01777377,0.017546687,0.7053535,0.31844503,0.013653621
