time,a,b,c,d,e,f
2019-10-19 00:00:00,2.874194,0.1099716,0.07981355,0.041820228,0.29293334,0.23901357
2019-10-19 03:00:00,2.9775004,0.113002755,0.23686142,0.09608165,0.30370307,0.19185981
2019-10-19 06:00:00,3.4525132,0.109322794,0.25445157,0.1472323,0.27928275,0.20283324
2019-10-19 09:00:00,4.9146924,0.099074274,0.3390156,0.16923617,0.34340045,0.2341769
2019-10-19 12:00:00,5.1830473,0.103264056,0.3873144,0.23266183,0.18417504,0.060356457
2019-10-19 15:00:00,5.4733186,0.107799456,0.37365532,0.21173947,0.18220866,0.0500615
2019-10-19 18:00:00,5.4030366,0.1156082,0.38992044,0.18652084,0.1953393,0.050250247
2019-10-19 21:00:00,6.7053638,0.14972427,0.5777535,0.13791311,0.28119904,0.06774583
2019-10-20 00:00:00,7.677337,0.15124318,0.71010387,0.101910554,0.33322915,0.067247994
2019-10-20 03:00:00,7.5808687,0.14374092,0.75636077,0.1135336,0.32114935,0.06407342
2019-10-20 06:00:00,6.8772454,0.11346292,0.74147487,0.20753692,0.19935508,0.07016576
2019-10-20 09:00:00,6.2066774,0.10252029,0.43165386,0.23944753,0.15998392,0.05227842
2019-10-20 12:00:00,7.6330047,0.12851945,0.4488783,0.21027803,0.19267684,0.10222081
2019-10-20 15:00:00,5.3762255,0.15981656,0.51524705,1.3317164,0.058926627,0.02084692
2019-10-20 18:00:00,2.1453247,0.2169902,0.6497366,0.59262604,0.12012341,0.0414563
2019-10-20 21:00:00,1.099678,0.14313911,0.62557244,0.8401115,0.102565214,0.030709706
2019-10-21 00:00:00,1.2308022,0.11415875,0.44919157,0.95770836,0.091281794,0.023212446
2019-10-21 03:00:00,1.4804752,0.122468136,0.36710694,0.91438484,0.09102781,0.024291927
2019-10-21 06:00:00,1.3033948,0.14187033,0.30888712,0.77118605,0.079749726,0.024535082
2019-10-21 09:00:00,1.2401828,0.14004457,0.27250135,0.7299522,0.06860375,0.022100857
2019-10-21 12:00:00,1.6631612,0.117024355,0.24826698,0.8096655,0.068126895,0.022641145
2019-10-21 15:00:00,2.564115,0.10564603,0.31624776,0.7499701,0.07275147,0.029707378
2019-10-21 18:00:00,2.9906042,0.09491054,0.42994836,0.50756913,0.09419926,0.042483762
2019-10-21 21:00:00,2.2718694,0.10446367,0.27131292,0.7305263,0.06255636,0.025514552
2019-10-22 00:00:00,2.383612,0.10455356,0.313747,0.87659824,0.062902965,0.024522597
2019-10-22 03:00:00,2.0658054,0.09414499,0.1898648,0.87786674,0.06547501,0.02233434
2019-10-22 06:00:00,1.6818428,0.08647644,0.19121268,0.75352764,0.059584677,0.020354304
2019-10-22 09:00:00,2.1161032,0.082740374,0.31160024,0.5870299,0.063135974,0.029905826
2019-10-22 12:00:00,4.8895354,0.0687312,0.39527076,0.31283358,0.08024476,0.11016242
2019-10-22 15:00:00,6.2627583,0.06369265,0.40416422,0.20958677,0.07870365,0.11850176
2019-10-22 18:00:00,4.942476,0.07436321,0.42340538,0.33075178,0.078316815,0.05852796
2019-10-22 21:00:00,3.2831798,0.07740798,0.36526537,0.44365185,0.06727542,0.039436296
2019-10-23 00:00:00,3.7504947,0.07751482,0.32407048,0.3539046,0.055132773,0.0364789
2019-10-23 03:00:00,4.52496,0.07123782,0.6363734,0.20856921,0.065644145,0.03549429
2019-10-23 06:00:00,5.57578,0.06752591,0.7516466,0.10622591,0.07919391,0.08908571
2019-10-23 09:00:00,5.375019,0.063501626,0.5940327,0.08537485,0.09927571,0.2031814
2019-10-23 12:00:00,8.2221155,0.04557756,0.07944497,0.045007538,0.25855768,0.5656196
2019-10-23 15:00:00,6.6155276,0.036911108,0.03015403,0.028510865,0.51259315,0.5523599
2019-10-23 18:00:00,6.074348,0.03290681,0.036586385,0.023892771,0.42018193,0.50472516
2019-10-23 21:00:00,5.748676,0.0374333,0.11587855,0.03133489,0.37429708,0.46902332
2019-10-24 00:00:00,6.833618,0.045565374,0.42624992,0.05854832,0.1545885,0.38190025
2019-10-24 03:00:00,5.652451,0.045568656,0.4703706,0.05785579,0.18907386,0.32883498
2019-10-24 06:00:00,4.185142,0.04387169,0.4204047,0.0494387,0.29440355,0.3601688
2019-10-24 09:00:00,3.0193434,0.05517875,0.48408422,0.07727433,0.22876297,0.29491496
2019-10-24 12:00:00,2.255538,0.056698058,0.45224267,0.087531954,0.13851538,0.2652086
2019-10-24 15:00:00,1.925857,0.058208447,0.43642688,0.08659455,0.14510074,0.27892393
2019-10-24 18:00:00,2.4756777,0.055707753,0.41586924,0.08683636,0.14872976,0.3117931
2019-10-24 21:00:00,2.2094018,0.058423445,0.49432623,0.10378631,0.12508473,0.28951284
2019-10-25 00:00:00,2.5216997,0.066185355,0.5763092,0.10137972,0.13342348,0.19087164
2019-10-25 03:00:00,2.7466319,0.067357205,0.56751776,0.10458163,0.1315127,0.16433397
2019-10-25 06:00:00,3.1547973,0.06596101,0.5202392,0.10269382,0.13066329,0.14742671
2019-10-25 09:00:00,2.8863783,0.06384757,0.5004893,0.10071949,0.122165464,0.21866281
2019-10-25 12:00:00,2.992195,0.062109467,0.4864806,0.09384398,0.122569844,0.2714484
2019-10-25 15:00:00,3.6464062,0.058056165,0.43250212,0.08872347,0.1332828,0.2804331
2019-10-25 18:00:00,4.451586,0.04896603,0.3252203,0.075652376,0.14065881,0.31700194
2019-10-25 21:00:00,5.06368,0.042463377,0.2548091,0.06253611,0.14788082,0.38199103
2019-10-26 00:00:00,5.4010987,0.038967177,0.23467705,0.061694067,0.14967385,0.39397475
